agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SOURCE AGENT,0,326,-288973.0,-2.557077625570776,129814.0,438.0
SOURCE AGENT,0,327,-294309.0,-7.688760806916426,130508.0,694.0
SOURCE AGENT,0,328,-294495.0,-0.6283783783783784,130804.0,296.0
SOURCE AGENT,0,329,-293936.0,3.8551724137931034,130949.0,145.0
SOURCE AGENT,0,330,-293240.0,6.5046728971962615,131056.0,107.0
SOURCE AGENT,0,331,-294477.0,-7.779874213836478,131215.0,159.0
SOURCE AGENT,0,332,-295083.0,-4.967213114754099,131337.0,122.0
SOURCE AGENT,0,333,-295530.0,-1.7192307692307693,131597.0,260.0
SOURCE AGENT,0,334,-295191.0,2.029940119760479,131764.0,167.0
SOURCE AGENT,0,335,-297342.0,-7.654804270462633,132045.0,281.0
SOURCE AGENT,0,336,-296693.0,4.214285714285714,132199.0,154.0
SOURCE AGENT,0,337,-295996.0,6.5754716981132075,132305.0,106.0
SOURCE AGENT,0,338,-299200.0,-13.077551020408164,132550.0,245.0
SOURCE AGENT,0,339,-298371.0,11.356164383561644,132623.0,73.0
SOURCE AGENT,0,340,-297537.0,12.264705882352942,132691.0,68.0
SOURCE AGENT,0,341,-297550.0,-0.10569105691056911,132814.0,123.0
SOURCE AGENT,0,342,-299026.0,-7.38,133014.0,200.0
SOURCE AGENT,0,343,-298213.0,9.134831460674157,133103.0,89.0
SOURCE AGENT,0,344,-297512.0,6.872549019607843,133205.0,102.0
SOURCE AGENT,0,345,-297510.0,0.00966183574879227,133412.0,207.0
SOURCE AGENT,0,346,-296682.0,11.18918918918919,133486.0,74.0
SOURCE AGENT,0,347,-296014.0,4.948148148148148,133621.0,135.0
SOURCE AGENT,0,348,-296389.0,-1.9946808510638299,133809.0,188.0
SOURCE AGENT,0,349,-295684.0,7.1938775510204085,133907.0,98.0
SOURCE AGENT,0,350,-294853.0,11.704225352112676,133978.0,71.0
SOURCE AGENT,0,351,-294471.0,3.0806451612903225,134102.0,124.0
SOURCE AGENT,0,352,-295694.0,-5.012295081967213,134346.0,244.0
SOURCE AGENT,0,353,-295225.0,3.448529411764706,134482.0,136.0
SOURCE AGENT,0,354,-294953.0,2.0148148148148146,134617.0,135.0
SOURCE AGENT,0,355,-294260.0,6.3,134727.0,110.0
SOURCE AGENT,0,356,-293672.0,5.068965517241379,134843.0,116.0
SOURCE AGENT,0,357,-293652.0,0.06944444444444445,135131.0,288.0
SOURCE AGENT,0,358,-293958.0,-0.9652996845425867,135448.0,317.0
SOURCE AGENT,0,359,-293589.0,1.5635593220338984,135684.0,236.0
SOURCE AGENT,0,360,-292758.0,11.704225352112676,135755.0,71.0
SOURCE AGENT,0,361,-297063.0,-3.198365527488856,137101.0,1346.0
SOURCE AGENT,0,362,-297587.0,-3.7697841726618706,137240.0,139.0
SOURCE AGENT,0,363,-298836.0,-1.6326797385620915,138005.0,765.0
SOURCE AGENT,0,364,-299941.0,-2.1168582375478926,138527.0,522.0
