agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
TRANSFER AGENT,0,209,-1108825.0,-15.339285714285714,196177.0,448.0
TRANSFER AGENT,0,210,-1109621.0,-3.7370892018779345,196390.0,213.0
TRANSFER AGENT,0,211,-1109220.0,3.8190476190476192,196495.0,105.0
TRANSFER AGENT,0,212,-1109697.0,-0.9774590163934426,196983.0,488.0
TRANSFER AGENT,0,213,-1109910.0,-0.9508928571428571,197207.0,224.0
TRANSFER AGENT,0,214,-1115508.0,-8.494688922610015,197866.0,659.0
TRANSFER AGENT,0,215,-1115484.0,0.08450704225352113,198150.0,284.0
TRANSFER AGENT,0,216,-1114782.0,6.9504950495049505,198251.0,101.0
TRANSFER AGENT,0,217,-1118122.0,-11.843971631205674,198533.0,282.0
TRANSFER AGENT,0,218,-1119570.0,-2.5492957746478875,199101.0,568.0
TRANSFER AGENT,0,219,-1118873.0,6.5754716981132075,199207.0,106.0
TRANSFER AGENT,0,220,-1118172.0,6.872549019607843,199309.0,102.0
TRANSFER AGENT,0,221,-1123175.0,-8.949910554561717,199868.0,559.0
TRANSFER AGENT,0,222,-1135543.0,-20.682274247491637,200466.0,598.0
TRANSFER AGENT,0,223,-1143692.0,-12.812893081761006,201102.0,636.0
TRANSFER AGENT,0,224,-1148170.0,-19.301724137931036,201334.0,232.0
TRANSFER AGENT,0,225,-1148032.0,0.5130111524163569,201603.0,269.0
TRANSFER AGENT,0,226,-1158001.0,-12.896507115135835,202376.0,773.0
TRANSFER AGENT,0,227,-1160572.0,-8.429508196721311,202681.0,305.0
TRANSFER AGENT,0,228,-1160014.0,3.8219178082191783,202827.0,146.0
TRANSFER AGENT,0,229,-1161840.0,-2.4411764705882355,203575.0,748.0
TRANSFER AGENT,0,230,-1161434.0,2.040201005025126,203774.0,199.0
TRANSFER AGENT,0,231,-1166950.0,-19.7,204054.0,280.0
TRANSFER AGENT,0,232,-1166261.0,6.043859649122807,204168.0,114.0
TRANSFER AGENT,0,233,-1166349.0,-0.2962962962962963,204465.0,297.0
TRANSFER AGENT,0,234,-1169421.0,-4.345120226308345,205172.0,707.0
TRANSFER AGENT,0,235,-1168912.0,5.302083333333333,205268.0,96.0
TRANSFER AGENT,0,236,-1192465.0,-16.969020172910664,206656.0,1388.0
TRANSFER AGENT,0,237,-1191762.0,7.03,206756.0,100.0
TRANSFER AGENT,0,238,-1198104.0,-20.197452229299362,207070.0,314.0
TRANSFER AGENT,0,239,-1198662.0,-1.5040431266846361,207441.0,371.0
TRANSFER AGENT,0,240,-1199469.0,-1.5489443378119,207962.0,521.0
TRANSFER AGENT,0,241,-1199032.0,2.6011904761904763,208130.0,168.0
TRANSFER AGENT,0,242,-1198451.0,4.723577235772358,208253.0,123.0
TRANSFER AGENT,0,243,-1200343.0,-8.6,208473.0,220.0
TRANSFER AGENT,0,244,-1200846.0,-1.2120481927710844,208888.0,415.0
TRANSFER AGENT,0,245,-1200864.0,-0.07929515418502203,209115.0,227.0
TRANSFER AGENT,0,246,-1200299.0,4.0647482014388485,209254.0,139.0
TRANSFER AGENT,0,247,-1200960.0,-1.3945147679324894,209728.0,474.0
TRANSFER AGENT,0,248,-1208378.0,-6.223154362416107,210920.0,1192.0
TRANSFER AGENT,0,249,-1221343.0,-21.572379367720465,211521.0,601.0
TRANSFER AGENT,0,250,-1221116.0,0.8136200716845878,211800.0,279.0
TRANSFER AGENT,0,251,-1220306.0,8.804347826086957,211892.0,92.0
TRANSFER AGENT,0,252,-1219932.0,1.619047619047619,212123.0,231.0
TRANSFER AGENT,0,253,-1220046.0,-0.35294117647058826,212446.0,323.0
TRANSFER AGENT,0,254,-1219461.0,4.915966386554622,212565.0,119.0
TRANSFER AGENT,0,255,-1219990.0,-2.1769547325102883,212808.0,243.0
TRANSFER AGENT,0,256,-1220375.0,-1.9444444444444444,213006.0,198.0
TRANSFER AGENT,0,257,-1219841.0,3.1411764705882352,213176.0,170.0
TRANSFER AGENT,0,258,-1221785.0,-5.2398921832884096,213547.0,371.0
TRANSFER AGENT,0,259,-1221270.0,2.7248677248677247,213736.0,189.0
TRANSFER AGENT,0,260,-1223081.0,-2.856466876971609,214370.0,634.0
TRANSFER AGENT,0,261,-1229899.0,-7.669291338582677,215259.0,889.0
TRANSFER AGENT,0,262,-1229071.0,11.18918918918919,215333.0,74.0
TRANSFER AGENT,0,263,-1229653.0,-1.4734177215189874,215728.0,395.0
TRANSFER AGENT,0,264,-1236966.0,-6.727690892364305,216815.0,1087.0
TRANSFER AGENT,0,265,-1240772.0,-3.642105263157895,217860.0,1045.0
TRANSFER AGENT,0,266,-1240428.0,2.123456790123457,218022.0,162.0
TRANSFER AGENT,0,267,-1239899.0,3.0228571428571427,218197.0,175.0
TRANSFER AGENT,0,268,-1239196.0,7.03,218297.0,100.0
TRANSFER AGENT,0,269,-1252263.0,-14.502774694783573,219198.0,901.0
TRANSFER AGENT,0,270,-1255417.0,-5.3367174280879865,219789.0,591.0
TRANSFER AGENT,0,271,-1264639.0,-6.531161473087819,221201.0,1412.0
